date,open,high,low,close,volume,timeframe,instrument_type
2025-12-01 12:15:00+05:30,26509.6,26518.0,26490.0,26518.0,13195,15m,FUTURES
2025-12-01 12:30:00+05:30,26518.0,26518.0,26472.0,26495.0,19305,15m,FUTURES
2025-12-01 12:45:00+05:30,26495.0,26511.5,26485.9,26511.5,4615,15m,FUTURES
2025-12-01 13:00:00+05:30,26511.5,26511.5,26496.9,26510.0,2730,15m,FUTURES
2025-12-01 13:15:00+05:30,26510.0,26523.5,26495.0,26498.0,4160,15m,FUTURES
2025-12-01 13:30:00+05:30,26498.0,26525.0,26490.0,26523.3,2405,15m,FUTURES
2025-12-01 13:45:00+05:30,26523.3,26525.6,26508.0,26508.0,3445,15m,FUTURES
2025-12-01 14:00:00+05:30,26508.0,26543.1,26508.0,26531.7,5785,15m,FUTURES
2025-12-01 14:15:00+05:30,26531.7,26535.0,26525.0,26525.0,1820,15m,FUTURES
2025-12-01 14:30:00+05:30,26525.0,26525.0,26500.0,26500.0,5005,15m,FUTURES
2025-12-01 14:45:00+05:30,26500.0,26508.1,26475.0,26480.0,9490,15m,FUTURES
2025-12-01 15:00:00+05:30,26480.0,26513.0,26480.0,26509.1,6825,15m,FUTURES
2025-12-01 15:15:00+05:30,26509.1,26513.9,26495.0,26497.0,10595,15m,FUTURES
2025-12-02 09:15:00+05:30,26450.0,26483.4,26432.7,26470.6,17940,15m,FUTURES
2025-12-02 09:30:00+05:30,26470.6,26470.6,26421.0,26427.0,19565,15m,FUTURES
2025-12-02 09:45:00+05:30,26427.0,26442.3,26415.0,26415.0,18850,15m,FUTURES
2025-12-02 10:00:00+05:30,26415.0,26422.5,26400.0,26407.0,18135,15m,FUTURES
2025-12-02 10:15:00+05:30,26407.0,26426.3,26395.0,26426.3,14755,15m,FUTURES
2025-12-02 10:30:00+05:30,26426.3,26438.8,26418.7,26420.0,7020,15m,FUTURES
2025-12-02 10:45:00+05:30,26420.0,26440.3,26410.0,26435.0,4875,15m,FUTURES
2025-12-02 11:00:00+05:30,26435.0,26440.8,26422.1,26425.5,3575,15m,FUTURES
2025-12-02 11:15:00+05:30,26425.5,26429.5,26405.0,26412.8,4095,15m,FUTURES
2025-12-02 11:30:00+05:30,26412.8,26420.5,26401.6,26408.3,10140,15m,FUTURES
2025-12-02 11:45:00+05:30,26408.3,26414.6,26391.0,26398.4,10335,15m,FUTURES
2025-12-02 12:00:00+05:30,26398.4,26411.5,26390.0,26405.2,8255,15m,FUTURES
2025-12-02 12:15:00+05:30,26405.2,26416.1,26396.5,26415.0,3380,15m,FUTURES
